"","Sample0872","Sample0832","Sample0868","Sample0903","Sample0835","Sample0904","Sample0875","Sample0874","Sample0836","Sample0865","Sample0910","Sample0908","Sample0906","Sample0831","Sample0907","Sample0867","Sample0873","Sample0912","Sample0840","Sample0833","Sample0901","Sample0902","Sample0876","Sample0829","Sample0869","Sample0909","Sample0905","Sample0866","Sample0871","Sample0830","Sample0870","Sample0839","Sample0834","Sample0911","Sample0837","Sample0838","Sample0389","Sample0386","Sample0429","Sample0391","Sample0435","Sample0433","Sample0436","Sample0349","Sample0384","Sample0427","Sample0382","Sample0351","Sample0428","Sample0355","Sample0392","Sample0426","Sample0437","Sample0434","Sample0432","Sample0354","Sample0387","Sample0344","Sample0388","Sample0350","Sample0353","Sample0352","Sample0430","Sample0431","Sample0383","Sample0348","Sample0345","Sample0346","Sample0393","Sample0390","Sample0347","Sample0385"
"OTU_482",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,2,0,3,0,4,1,6,1,2,0,0,0,1,1,12,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"OTU_1659",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_7",0,0,0,293,85,72,16,0,0,422,119,0,0,554,0,8,0,0,0,56,0,2,0,1,0,0,26,0,0,11,183,0,0,0,3,0,4,15,11,48,9,136,49,1,7,51,6,10,151,1,6,11,7,44,39,2,14,9,4,2,2,2,2,5,11,4,1,28,2,13,0,4
"OTU_169",0,0,0,38,0,0,10,111,0,0,0,0,0,100,0,0,0,0,0,443,0,0,0,0,0,0,0,104,0,0,0,0,184,0,0,0,1,4,0,7,2,0,1,1,1,0,1,9,1,3,0,0,0,0,0,6,2,2,1,2,4,5,0,0,15,6,5,5,0,2,0,0
"OTU_403",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,0,0,44,0,0,12,1,0,0,0,0,5,1,1,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"OTU_14",0,0,5,1609,22,0,0,157,0,0,1214,35,0,1030,0,58,646,0,0,28,0,0,0,2,236,111,0,1,0,0,222,1333,0,80,2,8,248,16,5,150,22,34,2,19,11,2,40,0,17,4,36,17,14,7,17,1,112,9,53,15,2,3,3,0,12,6,5,65,4,0,5,0
"OTU_256",0,110,30,0,0,0,0,0,0,53,0,43,0,56,0,0,2,0,0,0,359,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"OTU_173",0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,0,2,0,2,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
"OTU_131",0,408,443,45,383,0,1177,0,538,0,0,60,133,154,0,1213,1,0,0,197,0,0,515,0,1,0,0,0,0,0,15,17,69,0,0,0,0,8,11,18,13,94,79,2,22,227,14,1,130,0,8,4,74,162,85,2,15,0,1,0,3,8,33,69,8,6,2,11,0,10,0,2
"OTU_373",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
