"","Sample0547","Sample0588","Sample0509","Sample0579","Sample0543","Sample0553","Sample0516","Sample0546","Sample0550","Sample0582","Sample0586","Sample0545","Sample0513","Sample0552","Sample0548","Sample0578","Sample0549","Sample0517","Sample0587","Sample0581","Sample0544","Sample0510","Sample0506","Sample0585","Sample0583","Sample0584","Sample0580","Sample0542","Sample0512","Sample0551","Sample0590","Sample0507","Sample0508","Sample0511","Sample0514","Sample0515","Sample0284","Sample0267","Sample0283","Sample0319","Sample0285","Sample0281","Sample0317","Sample0328","Sample0321","Sample0282","Sample0279","Sample0286","Sample0323","Sample0289","Sample0325","Sample0287","Sample0326","Sample0322","Sample0324","Sample0318","Sample0320","Sample0290","Sample0288","Sample0327","Sample0472","Sample0475","Sample0471","Sample0470","Sample0467","Sample0466","Sample0477","Sample0474","Sample0478","Sample0473","Sample0469","Sample0468"
"OTU_203",0,0,0,0,45,3,0,0,104,52,1,84,9,9,1,0,6,1,0,0,7,82,56,154,16,0,0,2,0,40,0,0,8,17,0,0,41,27,0,0,0,61,67,0,0,1,0,0,65,7,0,0,0,0,0,0,140,0,32,0,0,1,0,0,2,0,0,0,8,0,0,0
"OTU_924",0,0,0,0,61,0,0,0,26,11,0,0,0,0,0,0,0,0,0,0,0,4,0,0,50,0,0,5,0,87,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_115",27,49,582,105,35,0,4,698,27,13,316,23,7,56,13,182,384,553,109,333,17,0,198,126,3,38,25,24,121,21,83,16,61,9,548,36,537,297,237,50,473,523,57,36,183,729,380,332,29,342,378,557,105,31,261,25,198,328,425,17,2,9,2,13,45,47,1,26,16,71,5,90
"OTU_258",0,0,10,0,41,0,3,0,24,60,6,78,7,6,0,0,0,0,0,0,0,125,0,0,65,0,7,52,7,38,5,0,4,72,31,0,0,0,34,0,0,142,0,0,0,0,0,22,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"OTU_454",0,0,0,48,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,20,0,0,26,0,21,0,0,16,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0
"OTU_128",1,69,298,45,78,64,106,340,122,68,70,55,31,26,17,104,118,110,49,471,69,10,42,69,15,78,71,28,42,26,346,62,8,31,33,0,67,384,81,42,105,129,14,37,12,246,282,118,20,207,49,169,74,0,52,28,0,190,200,105,35,63,16,17,10,0,2,11,7,47,95,16
"OTU_82",62,0,3,52,1079,280,2,309,384,244,63,63,4,111,1,153,116,23,0,33,476,23,72,98,216,663,0,141,96,736,275,0,0,357,70,0,366,74,149,7,291,353,0,0,0,299,435,67,5,73,0,48,0,0,0,0,0,121,183,0,0,0,0,0,0,0,0,0,2,0,0,0
"OTU_52",0,1,14,0,2,0,52,0,0,0,8,19,0,0,37,0,163,0,8,17,9,2,15,15,15,3,0,0,0,6,0,11,31,15,24,0,0,0,267,0,1021,0,0,91,0,34,11,0,9,6,0,202,0,0,0,0,0,0,18,0,0,0,8,0,4,18,0,1,2,2,0,7
"OTU_482",23,0,0,0,0,0,18,0,24,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,36,10,0,0,0,33,12,0,0,0,0,89,0,7,0,0,10,57,8,0,0,40,0,6,0,53,10,28,32,77,17,31,4,7,47
"OTU_1659",0,0,0,1,6,11,0,24,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,55,0,0,0,0,0,4,0,0,4,0,43,0,0,33,0,22,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,1,0,0
"OTU_7",252,2,0,172,12,50,0,0,76,0,0,0,92,199,0,89,0,2,35,0,396,47,0,0,0,285,0,0,53,0,0,32,0,0,7,0,1,1634,46,0,5,0,0,0,16,0,0,0,6,21,1,37,0,0,0,1,0,0,4,26,19,8,9,5,10,31,3,5,17,53,1,52
"OTU_169",131,166,116,41,19,100,61,82,47,172,153,24,67,35,21,166,47,53,61,81,10,33,119,128,21,22,82,34,49,12,23,138,127,68,283,57,46,222,55,85,8,63,79,200,250,83,72,17,160,58,233,103,48,55,167,190,83,55,48,107,0,0,13,1,11,6,26,5,0,0,2,0
"OTU_826",0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_403",0,0,65,0,0,0,127,0,0,0,0,0,8,0,3,0,71,54,0,0,7,0,0,0,0,0,0,0,19,7,20,0,134,15,26,0,0,36,1321,0,0,0,0,42,0,122,36,0,0,16,0,0,0,0,0,0,0,66,381,0,0,5,1,0,8,44,18,20,1,1,2,0
"OTU_14",955,0,0,508,507,90,1,54,296,613,86,373,388,1500,1,38,4,2,560,1,1472,405,64,55,617,1567,0,635,712,209,22,129,0,510,376,281,0,553,169,0,23,0,13,0,0,0,18,48,199,30,0,18,0,0,53,2,0,10,29,0,0,3,2,2,0,7,0,1,7,0,0,23
"OTU_256",1,5,10,0,5,27,98,0,22,125,23,218,11,0,1,0,23,70,3,0,0,8,47,151,21,6,0,10,0,33,60,0,1,9,6,0,0,1,0,0,0,94,56,1,0,0,0,0,12,79,0,0,0,0,1,0,1,1,19,0,0,0,0,0,0,15,0,0,4,0,0,7
"OTU_173",0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_131",203,46,522,402,111,397,690,306,49,38,384,91,276,148,196,225,395,371,96,763,233,41,382,139,50,169,166,139,187,39,439,122,72,86,95,76,327,784,144,100,288,267,44,118,38,736,107,230,136,207,175,647,157,72,61,90,48,156,208,189,9,42,322,46,23,38,15,7,65,149,59,70
"OTU_373",0,0,0,0,364,0,0,24,8,0,0,0,0,9,1,0,255,0,0,0,687,0,0,0,4,44,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_5156",54,53,214,15,0,15,174,0,5,0,63,39,0,35,48,19,99,334,27,560,11,0,67,46,0,2,104,0,13,0,50,0,21,0,42,78,215,338,123,0,184,247,52,14,157,295,106,293,9,119,50,145,0,163,36,103,147,61,382,62,144,17,304,131,157,65,187,69,414,114,87,333
