"","Sample0528","Sample0522","Sample0554","Sample0556","Sample0527","Sample0565","Sample0525","Sample0523","Sample0524","Sample0560","Sample0564","Sample0557","Sample0521","Sample0591","Sample0559","Sample0558","Sample0598","Sample0563","Sample0520","Sample0561","Sample0526","Sample0562","Sample0599","Sample0529","Sample0519","Sample0518","Sample0555","Sample0600","Sample0337","Sample0303","Sample0293","Sample0338","Sample0339","Sample0331","Sample0302","Sample0336","Sample0330","Sample0335","Sample0295","Sample0329","Sample0332","Sample0300","Sample0301","Sample0340","Sample0297","Sample0296","Sample0299","Sample0292","Sample0334","Sample0333","Sample0298","Sample0291","Sample0487","Sample0488","Sample0492","Sample0484","Sample0493","Sample0482","Sample0485","Sample0486","Sample0490","Sample0481","Sample0491","Sample0489"
"OTU_419",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,36,405,0,0,0,0,0,0,0,0,35,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_35",7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,60,0,0,0
"OTU_54",31,0,244,49,88,0,9,26,2,417,13,60,1705,846,31,342,155,311,490,354,361,17,0,290,303,26,286,2,0,0,0,0,0,0,0,0,0,0,0,55,0,0,273,0,0,0,0,46,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0
"OTU_401",0,0,0,0,53,0,0,0,0,0,17,165,0,23,26,0,0,0,0,0,7,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"OTU_164",13,117,974,23,1,32,6,13,26,30,29,196,68,120,15,1,29,26,0,47,34,65,0,44,30,51,8,0,81,13,0,76,14,74,170,9,52,0,0,61,34,28,12,11,16,10,0,39,15,41,0,0,30,17,10,2,0,8,36,47,0,4,34,4
"OTU_120",0,227,1194,61,263,0,30,13,169,0,21,4,249,21,379,394,55,0,110,250,898,298,0,26,223,219,0,1,0,13,190,19,49,0,51,273,27,467,159,85,0,0,297,0,15,15,0,15,0,0,32,0,2,0,5,0,10,4,0,7,0,0,4,4
"OTU_673",49,166,401,996,0,2504,1599,308,1443,3,864,921,180,3764,0,0,3608,95,16,248,0,151,0,275,0,0,25,2,181,111,6,205,164,269,72,94,124,46,27,125,128,65,91,26,12,19,0,12,21,23,5,2,1086,462,1485,591,1382,566,747,1752,312,1667,2295,248
"OTU_130",22,120,255,48,14,167,53,69,149,11,80,96,38,209,23,39,69,29,27,102,40,139,0,97,9,0,7,0,88,18,0,107,42,81,0,32,128,63,23,17,16,0,43,115,0,0,0,7,17,0,11,0,11,38,18,11,28,12,8,24,3,5,29,0
"OTU_464",29,0,0,3,121,0,45,0,11,0,20,0,49,0,25,78,0,38,101,0,5,11,0,0,0,0,32,0,51,0,0,0,0,0,0,0,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,13,2,0
"OTU_174",17,0,73,7,90,31,53,0,0,0,0,29,126,284,55,64,0,3,6,0,0,0,0,0,31,164,0,0,0,0,0,0,96,0,0,60,18,0,0,39,0,0,0,0,0,0,0,0,0,38,0,137,3,0,0,13,2,0,0,0,0,0,1,0
"OTU_75",0,56,20,24,4,158,17,74,12,1,21,222,0,389,12,5,91,4,9,24,22,24,0,24,10,35,20,3,182,0,0,225,560,338,49,240,137,91,0,160,73,0,0,0,0,55,0,0,0,35,0,0,13,64,9,60,5,5,24,17,6,34,19,5
"OTU_11",161,38,92,91,214,24,47,1037,6,173,9,6,1998,92,29,1953,175,222,901,518,722,49,0,275,926,450,446,8,0,187,26,288,10,0,0,0,25,79,109,39,53,644,113,131,143,34,0,9,55,0,90,0,3,11,0,0,0,0,5,0,0,15,6,0
"OTU_377",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"OTU_1",257,0,18,5,14,1,0,72,0,13,3,6,173,2,2599,36,16,20,48,3,50,51,32388,89,26,4,12,33,7,276,122,55,19,1,125,0,2,1,192,0,2,303,270,0,0,6,32,510,2,1,104,760,119,90,17,22,26,3,19,201,0,28,0,17
"OTU_189",0,112,38,12,0,5,0,442,22,13,0,1,506,251,3,165,92,36,12,88,108,0,0,195,22,10,170,1,0,0,0,0,0,22,37,0,0,73,0,34,48,0,0,0,38,0,0,52,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0
"OTU_199",0,0,0,0,7,0,0,0,0,0,0,0,0,0,97,83,0,0,0,0,74,0,0,7,190,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0
"OTU_19",733,2987,1635,989,800,457,1182,465,4086,1358,4470,2900,723,3986,613,136,1399,734,1619,1031,686,3205,0,406,868,304,132,28,557,229,37,551,169,182,84,337,344,42,18,345,304,298,259,77,124,51,112,51,274,174,284,164,622,250,158,388,363,342,515,322,371,185,188,56
"OTU_239",0,0,53,5,16,13,36,19,11,0,0,4,87,42,56,0,13,0,0,25,69,286,0,438,47,42,0,1,21,0,0,0,0,47,0,0,0,0,0,0,0,12,10,0,26,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"OTU_203",40,1,1,0,7,3,0,0,1,0,39,0,8,42,52,71,0,23,0,4,142,0,0,18,55,45,0,0,140,87,36,2,16,12,0,0,81,0,0,0,0,0,0,0,46,67,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,0
"OTU_924",0,0,0,0,20,0,0,0,0,0,0,0,0,8,24,0,0,0,0,0,0,0,0,0,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_115",114,122,250,2,18,51,170,12,19,102,15,166,110,135,5,49,29,0,63,41,0,195,0,25,17,0,0,0,0,0,80,0,45,11,0,20,0,0,0,70,11,0,0,0,0,0,0,0,0,23,0,41,5,21,1,10,0,0,0,0,4,0,0,0
"OTU_258",7,0,0,0,4,9,0,28,0,18,0,36,0,61,22,25,0,0,0,0,42,0,0,0,109,44,0,0,0,0,0,21,0,16,0,0,48,0,0,0,0,0,0,0,71,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"OTU_454",14,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_128",21,41,131,19,37,3,33,13,82,33,35,194,58,416,18,45,75,47,81,17,261,92,0,0,70,124,0,5,4,0,17,69,3,10,0,0,0,100,0,0,20,0,14,0,17,10,0,18,199,86,0,50,2,21,6,22,0,30,25,0,0,0,0,0
"OTU_82",31,20,187,24,484,3,53,0,2,95,0,41,646,6,403,83,0,14,29,176,210,370,0,9,1428,163,0,0,0,0,0,6,0,5,0,0,0,0,15,6,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_52",6,0,0,162,0,65,0,0,1367,0,10,18,173,0,0,0,35,8,31,10,44,0,0,929,30,9,0,0,11,0,41,0,0,0,0,0,85,0,1,6,0,89,16,0,60,0,0,0,0,0,31,1,3,0,0,14,0,0,0,0,0,0,0,0
"OTU_482",0,0,0,0,0,0,27,0,0,0,8,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,19,69,28,0,88,0,0,0,16,35,0,17,0,0,0,0,0,31,0,0,0,6,0,13,0,4,0,0,74,0,0,6,9
"OTU_1659",0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,14,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_7",34,0,13,4,0,0,0,50,0,101,0,0,0,26,1255,0,23,83,64,0,74,10,0,0,0,10,73,1,0,0,0,0,0,0,0,1,0,0,219,0,8,0,32,0,0,0,0,0,0,0,0,1,13,44,2,0,2,0,1,24,2,7,0,8
"OTU_169",21,307,244,22,22,47,18,110,43,42,26,33,180,45,23,38,30,24,31,28,20,179,0,12,17,107,34,0,18,122,38,103,49,21,35,35,76,0,62,82,43,118,48,38,37,16,0,17,32,0,82,79,4,0,8,5,2,4,1,0,0,6,21,0
"OTU_826",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_403",0,0,0,1,0,0,0,0,0,22,1,339,60,0,0,0,0,0,0,0,0,9,0,28,5,39,0,0,20,0,0,0,0,70,0,0,0,0,0,21,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"OTU_14",338,21,107,0,680,0,0,59,9,1269,1,6,64,81,1547,268,3,130,401,81,1977,118,26806,36,2006,220,142,25,0,27,0,0,0,0,0,0,4,0,36,0,70,165,0,0,0,0,0,186,0,0,63,0,8,0,0,0,0,0,2,38,0,0,0,0
"OTU_256",0,0,2,35,28,23,7,71,8,0,0,48,17,49,43,42,34,0,0,3,59,27,0,6,63,0,0,0,43,0,0,0,0,0,0,0,14,0,40,0,0,0,0,0,15,0,0,1,0,0,12,24,0,0,4,0,0,0,0,0,8,0,1,0
