"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU_7376","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia",""
"OTU_6555","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia","Periconia epilithographicola "
"OTU_1380","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Dioszegia","Dioszegia cryoxerica "
"OTU_6046","Fungi","Ascomycota","Eurotiomycetes","","","",""
"OTU_4169","Fungi","Ascomycota","Dothideomycetes","Tubeufiales","Tubeufiaceae","Tubeufia",""
"OTU_3091","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Ceratobasidium",""
"OTU_7680","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neosetophoma",""
"OTU_4861","Fungi","Ascomycota","Dothideomycetes","Pleosporales","","",""
"OTU_3506","Fungi","Ascomycota","Taphrinomycetes","Taphrinales","Protomycetaceae","Protomyces","Protomyces gravidus "
"OTU_6686","Fungi","Ascomycota","Sordariomycetes","Sordariales","","",""
"OTU_6032","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neosetophoma",""
"OTU_4352","Fungi","","","","","",""
"OTU_7848","Fungi","Ascomycota","Sordariomycetes","","","Rhamphoria",""
"OTU_3601","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Scedosporium","Scedosporium dehoogii "
"OTU_4390","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Sistotrema","Sistotrema sp  "
"OTU_1206","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Arthrobotrys",""
"OTU_1057","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae","Tremella",""
"OTU_1188","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Graphidaceae","Gomphillus",""
"OTU_2493","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae","",""
"OTU_1038","Fungi","Ascomycota","Taphrinomycetes","Taphrinales","Protomycetaceae","Protomyces","Protomyces gravidus "
"OTU_2519","Fungi","Glomeromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus",""
"OTU_1575","Fungi","Ascomycota","Sordariomycetes","","","",""
"OTU_1802","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella polygonia "
"OTU_1050","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Trichopezizella",""
"OTU_5048","","","","","","",""
"OTU_2121","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","","Nadsonia","Nadsonia starkeyi-henricii "
"OTU_2164","Fungi","Rozellomycota","","","","",""
"OTU_5181","Fungi","","","","","",""
"OTU_693","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetaceae","Archaeorhizomyces",""
"OTU_2168","Fungi","Basidiomycota","Agaricostilbomycetes","Agaricostilbales","Kondoaceae","Kondoa","Kondoa daliangziensis "
"OTU_5186","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala",""
"OTU_2745","Fungi","Glomeromycota","Glomeromycetes","Glomerales","","",""
"OTU_5218","Fungi","","","","","",""
"OTU_2086","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus",""
"OTU_2471","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Cystolepiota",""
"OTU_1133","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Bipolaris",""
"OTU_1922","Fungi","Chytridiomycota","Lobulomycetes","Lobulomycetales","","",""
"OTU_3838","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","",""
"OTU_2631","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Dipodascaceae","Geotrichum",""
"OTU_2799","Fungi","Ascomycota","Taphrinomycetes","Taphrinales","Taphrinaceae","Taphrina","Taphrina tormentillae "
"OTU_1158","Fungi","Ascomycota","Sordariomycetes","Hypocreales","","",""
"OTU_3659","Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia","Malassezia sympodialis "
"OTU_1212","Fungi","Ascomycota","Leotiomycetes","Helotiales","Tympanidaceae","",""
"OTU_3065","Fungi","Basidiomycota","Atractiellomycetes","Atractiellales","Hoehnelomycetaceae","",""
"OTU_4369","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",""
"OTU_4051","Fungi","","","","","",""
"OTU_5636","Fungi","Ascomycota","Dothideomycetes","Myriangiales","Elsinoaceae","Elsinoe","Elsinoe othonnae "
"OTU_3912","Fungi","","","","","",""
"OTU_4101","Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Neofabraea",""
"OTU_2746","Fungi","Ascomycota","Dothideomycetes","Myriangiales","Myriangiaceae","Myriangium",""
"OTU_6492","","","","","","",""
"OTU_4453","Fungi","","","","","",""
"OTU_2962","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Chaetosphaeronema",""
"OTU_6115","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","",""
"OTU_3368","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleraceae","Genolevuria","Genolevuria amylolytica "
"OTU_2894","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","","Candida",""
"OTU_6159","Fungi","","","","","",""
"OTU_4214","Fungi","Ascomycota","Sordariomycetes","Xylariales","Apiosporaceae","Apiospora",""
"OTU_5433","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma",""
"OTU_4867","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Dissophora","Dissophora ornata "
"OTU_4402","Fungi","Basidiomycota","Agaricomycetes","","","",""
"OTU_7807","Fungi","Ascomycota","Dothideomycetes","","","",""
"OTU_7597","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Pyrenophora",""
"OTU_7832","Fungi","Ascomycota","Sordariomycetes","Xylariales","Hypoxylaceae","Hypoxylon","Hypoxylon macrocarpum "
"OTU_7492","Fungi","Ascomycota","Dothideomycetes","Tubeufiales","Tubeufiaceae","Camporesiomyces","Camporesiomyces mali "
"OTU_6120","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neosetophoma",""
"OTU_6669","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Comoclathris","Comoclathris typhicola "
"OTU_7622","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","Diaporthe neoarctii "
"OTU_5990","Fungi","Glomeromycota","Glomeromycetes","Gigasporales","Gigasporaceae","Gigaspora",""
"OTU_6773","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Hannaella",""
"OTU_3846","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Thyridariaceae","",""
"OTU_6690","Fungi","Ascomycota","Sordariomycetes","Hypocreales","","",""
"OTU_5304","Fungi","Ascomycota","Dothideomycetes","Pleosporales","","",""
"OTU_7852","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","",""
"OTU_5292","Fungi","Ascomycota","Pezizomycetes","Pezizales","Morchellaceae","Morchella",""
"OTU_6945","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium","Filobasidium mucilaginum "
"OTU_7814","Fungi","","","","","",""
"OTU_7507","","","","","","",""
