"","Sample0538","Sample0541","Sample0570","Sample0530","Sample0571","Sample0532","Sample0496","Sample0504","Sample0499","Sample0502","Sample0536","Sample0534","Sample0575","Sample0537","Sample0501","Sample0503","Sample0577","Sample0533","Sample0497","Sample0494","Sample0566","Sample0500","Sample0535","Sample0531","Sample0567","Sample0569","Sample0495","Sample0573","Sample0576","Sample0505","Sample0498","Sample0540","Sample0574","Sample0568","Sample0539","Sample0572","Sample0133","Sample0136","Sample0135","Sample0141","Sample0132","Sample0139","Sample0131","Sample0140","Sample0130","Sample0138","Sample0137","Sample0134","Sample0278","Sample0307","Sample0310","Sample0266","Sample0273","Sample0268","Sample0270","Sample0269","Sample0313","Sample0316","Sample0308","Sample0309","Sample0305","Sample0271","Sample0277","Sample0315","Sample0274","Sample0272","Sample0280","Sample0312","Sample0306","Sample0276","Sample0314","Sample0311"
"OTU_180",90,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,6,568,0,0,0,0,0,3,2,0,2,4,0,0,0,0,1,2,0,585,712,0,0,0,0,388,7,82,16,0,0,65,681,234,60,0,0,0,0,0,49,4,0
"OTU_802",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_6181",0,0,0,9,0,0,0,0,17,0,69,0,1,0,15,0,0,0,6,0,2,0,0,0,0,0,10,0,0,3,0,0,0,0,4,6,3,9,1,0,0,0,0,6,14,0,1,23,23,5,0,46,0,20,6,9,9,0,9,0,0,42,32,0,24,0,0,0,0,30,0,0
"OTU_1891",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1269",0,1,11,15,0,3,0,0,60,0,0,0,0,4,1,0,0,0,4,0,0,0,0,13,0,0,0,5,0,0,4,0,0,0,6,1,11,47,14,7,0,11,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1017",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
"OTU_7491",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_74",0,0,0,0,13,0,9,0,3,0,26,3,8,0,0,0,0,0,0,0,4,0,2,0,17,0,9,0,0,1,0,0,0,0,9,0,0,0,7,5,0,0,0,0,3,1,4,0,0,0,0,0,0,7,0,33,0,0,0,0,0,0,0,0,0,37,35,0,0,1,0,0
"OTU_842",0,0,0,11,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,1,0,10,0,0,0,0,9,0,0,0,0,0,7,0,11,1,0,0,0,0,0,0,16,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_3102",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
