"","Sample0696","Sample0697","Sample0653","Sample0698","Sample0660","Sample0621","Sample0623","Sample0622","Sample0701","Sample0690","Sample0654","Sample0659","Sample0619","Sample0658","Sample0692","Sample0655","Sample0663","Sample0620","Sample0695","Sample0661","Sample0628","Sample0626","Sample0617","Sample0657","Sample0694","Sample0693","Sample0689","Sample0625","Sample0627","Sample0656","Sample0691","Sample0624","Sample0664","Sample0699","Sample0618","Sample0662","Sample0107","Sample0023","Sample0014","Sample0100","Sample0052","Sample0025","Sample0056","Sample0018","Sample0016","Sample0022","Sample0063","Sample0105","Sample0060","Sample0015","Sample0062","Sample0017","Sample0053","Sample0024","Sample0059","Sample0057","Sample0103","Sample0097","Sample0019","Sample0099","Sample0108","Sample0020","Sample0054","Sample0098","Sample0021","Sample0102","Sample0101","Sample0104","Sample0106","Sample0055","Sample0061","Sample0058"
"OTU_4607",0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,3,0,3,2,1,16,0,0,7
"OTU_6277",2,0,0,0,0,0,1,0,0,1,0,0,1,2,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_104",0,0,0,0,0,69,63,0,0,0,48,0,1,0,0,0,0,0,0,0,0,0,0,26,11,0,3,0,0,0,0,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"OTU_89",0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,13,0,2,0,0,14,0,0,0,0,0,9,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,3,3,0,45,0,0,6
"OTU_223",0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,1,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,5,0,0,0,0,0
"OTU_4383",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_55",0,0,0,0,0,0,0,13,0,0,33,4,5,0,6,12,0,13,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0
"OTU_389",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0
"OTU_419",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_35",0,0,0,579,0,0,7,0,0,0,0,0,0,130,0,4452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,14,0,0,0,0,36,0,0,23,0,3,0,0,0,0,0,0,1,0,0,10,10,0,0,7,0,6,60,0,95,0,0,0
