#OTU ID	R3T2r2Cleaf	V2T4r6Bleaf	R3T1r5Cleaf	R6T1r2Bleaf	R6T2r1Bleaf	R3T2r1Bleaf	R3T1r6Cleaf	V2T4r6Aleaf	V2T1r1Cleaf	R3T2r6Cleaf	R3T4r1Cleaf	V2T2r6Bleaf	R3T4r6Cleaf	R6T2r6Bleaf	V2T4r2Cleaf	R3T4r1Aleaf	V2T4r5Bleaf	V2T1r5Cleaf	V2T1r6Bleaf	R3T1r1Cleaf	V2T4r5Aleaf	V2T1r2Cleaf	R3T4r5Aleaf	R3T1r2Bleaf	R3T1r5Aleaf	R3T4r6Bleaf	R3T4r2Aleaf	R3T2r2Bleaf	R3T2r5Cleaf	R6T2r2Bleaf	R3T2r2Aleaf	R6T2r5Cleaf	V2T2r5Bleaf	R3T1r1Aleaf	R3T2r6Bleaf	V2T4r2Bleaf	R3T1r5Bleaf	R3T2r5Aleaf	V2T1r5Bleaf	R3T2r5Bleaf	V2T1r6Aleaf	R6T1r6Cleaf	V2T4r2Aleaf	V2T2r6Cleaf	R6T2r6Aleaf	V2T1r2Aleaf	R6T2r2Aleaf	V2T1r1Aleaf	R6T4r1Aleaf	V2T2r2Bleaf	V2T2r2Aleaf	R6T2r5Bleaf	V2T2r1Aleaf	R3T4r2Cleaf	R6T2r2Cleaf	R3T4r2Bleaf	R3T1r2Cleaf	R3T1r1Bleaf	R3T4r6Aleaf	R6T2r5Aleaf	R6T1r1Bleaf	R3T2r1Cleaf	V2T1r5Aleaf	R3T1r2Aleaf	R6T2r1Cleaf	R6T4r5Bleaf	V2T4r1Cleaf	R6T1r2Aleaf	R3T4r5Bleaf	V2T4r5Cleaf	R3T4r5Cleaf	V2T1r1Bleaf	R6T1r5Bleaf	R6T4r5Cleaf	R3T2r1Aleaf	R6T2r1Aleaf	R6T1r6Bleaf	V2T2r5Aleaf	R6T1r6Aleaf	V2T1r6Cleaf	R6T1r5Cleaf	R3T1r6Bleaf	V2T4r6Cleaf	V2T1r2Bleaf	R3T2r6Aleaf	R6T2r6Cleaf	V2T2r1Bleaf	V2T4r1Bleaf	R6T1r1Aleaf	R6T1r2Cleaf	V2T4r1Aleaf	R6T1r1Cleaf	V2T2r1Cleaf	R3T1r6Aleaf	V2T2r2Cleaf	R6T1r5Aleaf	V2T2r5Cleaf	V2T2r6Aleaf	R3T4r1Bleaf	R6T4r6Aleaf	NC1leaf
OTU_53	27	435	0	0	431	2	0	0	0	0	0	0	0	6	3714	0	0	1	3	0	1	11	5	12	5387	0	0	0	0	9	0	0	0	0	2	0	0	0	0	0	1	1	0	10	30	0	0	16	19	0	0	1	0	0	13	0	0	2147	20	13	0	13	0	0	0	13	2887	144	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	7	0	0	130	60	40	0	2000	0	0	0	4	52	1	0
OTU_1330	0	1	0	0	8	53	2	3	0	166	0	0	0	0	0	0	0	19	0	0	0	1	2	1	0	0	0	0	73	0	31	30	0	0	9	0	1	0	0	2	0	0	34	0	5	13	0	51	3	36	0	66	0	16	8	1	21	1	0	16	16	0	0	7	0	0	0	3	57	25	1	7	1	0	0	40	0	0	49	0	8	0	1	0	8	0	0	22	99	2	28	0	0	0	7	0	10	0	0	0	0
OTU_24	5	0	1813	142	3	29	376	39	73	38	506	191	1707	133	8	1460	183	47	37	238	222	0	79	52	98	239	530	0	0	482	719	78	263	202	4	262	49	19	307	650	29	161	34	2079	0	457	517	31	211	60	1247	1140	975	15	15	20	4	0	0	6	8	6	287	291	1853	0	2	586	60	13	96	0	514	0	0	54	37	35	25	5002	27	250	2548	54	15	458	0	13	27	16	0	1	126	22	23	175	22	0	6	2	0
OTU_185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	589	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0
OTU_155	0	20	0	0	18	0	4	0	0	0	4	22	11	0	19	0	0	0	0	13	53	25	2	0	0	0	0	47	0	0	0	12	0	28	0	0	0	5	0	0	0	0	0	26	7	0	0	0	507	0	0	0	0	0	1	0	0	17	0	0	0	5	27	0	5	27	0	0	16	0	12	0	0	0	0	0	12	0	0	0	0	7	0	0	0	10	0	0	0	0	0	12	16	0	0	10	18	0	35	0	0
OTU_40	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13256	0	0	0	1	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	156	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_173	0	0	0	25	20	36	0	52	0	0	0	0	0	0	0	0	0	2	0	14	0	0	0	99	0	17	162	0	0	19	0	11	0	0	0	0	7	5	0	0	23	0	0	10	10	0	0	40	22	2	0	146	0	26	11	6	36	1	0	2	84	0	0	0	0	0	0	0	0	7	0	17	37	0	0	0	0	0	0	0	75	0	0	0	28	3	0	14	10	27	0	0	21	0	6	0	0	0	0	0	0
OTU_23	1146	31	108	42	695	333	0	87	53	626	48	99	0	107	26	243	9	700	473	6	2	1669	418	645	1172	13	60	0	333	297	1879	136	99	549	297	0	65	1	11	0	58	808	1705	100	662	228	0	801	845	92	9	3328	95	31	109	341	51	65	310	884	24	229	66	24	54	155	490	1023	354	359	17	39	28	0	444	57	0	186	203	403	365	111	289	0	55	19	250	301	305	191	26	766	71	294	51	43	106	22	286	2	0
OTU_65	72	13	174	53	3	91	69	1	25	33	23	79	32	101	13	972	6	19	1	89	26	3	29	19	16	29	197	162	31	108	18	262	25	167	4	116	26	64	47	41	35	0	68	110	24	55	50	64	120	5	38	71	67	15	14	1	10	112	26	1	12	10	37	61	58	29	0	239	47	34	65	13	279	0	4	182	6	46	61	13	46	27	44	56	19	304	16	30	34	5	51	0	88	72	26	77	57	0	8	0	0
OTU_33	0	0	260	44	42	4232	13	263	26	305	63	48	0	13	13	1225	30	13258	37	9	176	111	0	111	69	22	4	541	585	365	726	87	0	63	41	227	81	1	42	47	68	0	253	13	18	75	62	831	21	86	34	742	243	377	458	392	317	74	0	27	228	0	9	38	2	59	112	278	250	896	301	163	10	0	256	1	0	167	112	67	387	83	28	243	295	25	86	223	541	18	219	4	20	5	329	57	35	0	0	1	0
