OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_1395	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Pleosporaceae_1	Alternaria_1	Alternaria helianthiinficiens 
OTU_1396	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Didymosphaeriaceae_1	Paraphaeosphaeria_1	
OTU_1397	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1		
OTU_1398	Fungi_1	Ascomycota_1	Pezizomycetes_1	Pezizales_1	Pezizaceae_1	Peziza_1	
OTU_1399	Fungi_1						
OTU_1400	Fungi_1	Ascomycota_1	Leotiomycetes_1	Helotiales_1			
OTU_1401	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1			
OTU_1402	Fungi_1	Basidiomycota_1	Tremellomycetes_1	Filobasidiales_1	Filobasidiaceae_1	Goffeauzyma_1	Goffeauzyma gastrica 
OTU_1403	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Corticiales_1	Corticiaceae_1	Limonomyces_1	
OTU_1404	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Corticiales_1	Corticiaceae_1	Limonomyces_1	
OTU_1405	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1			
OTU_1406	Fungi_1						
OTU_1407	Fungi_1	Ascomycota_1	Dothideomycetes_1	Mycosphaerellales_1	Teratosphaeriaceae_1		
OTU_1408	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Teichosporaceae_1	Teichospora_1	Teichospora mariae 
OTU_1409	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Russulales_1	Lachnocladiaceae_1	Dichostereum_1	Dichostereum effuscatum 
OTU_1410	Fungi_1	Basidiomycota_1	Exobasidiomycetes_1	Exobasidiales_1	Exobasidiaceae_1	Exobasidium_1	
OTU_1411	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1	Neosetophoma_1	
OTU_1412	Fungi_1	Ascomycota_1	Sordariomycetes_1	Phyllachorales_1	Phyllachoraceae_1	Phyllachora_1	Phyllachora sylvatica 
OTU_1413	Fungi_1						
OTU_1414	Fungi_1	Ascomycota_1	Sordariomycetes_1	Diaporthales_1	Diaporthaceae_1	Diaporthe_1	
OTU_1415	Fungi_1	Ascomycota_1	Eurotiomycetes_1	Chaetothyriales_1	Herpotrichiellaceae_1	Exophiala_1	Exophiala alcalophila 
