OTU,Genus,PRIMARY TROPHIC GUILD
OTU_4881,Therrya,plant_pathogen
OTU_5469,Phaeosphaeria,litter_saprotroph
OTU_4840,Shiraia,plant_pathogen
OTU_4883,Symmetrospora,epiphyte
OTU_2638,Cerinomyces,wood_saprotroph
OTU_3863,#N/A,#N/A
OTU_4971,#N/A,#N/A
OTU_4785,#N/A,#N/A
OTU_3337,Dinemasporium,litter_saprotroph
OTU_4868,Limonomyces,plant_pathogen
OTU_3504,Stagonospora,plant_pathogen
OTU_3185,#N/A,#N/A
OTU_4500,#N/A,#N/A
OTU_7171,Venturia,plant_pathogen
OTU_5606,#N/A,#N/A
OTU_4278,Mollisia,plant_pathogen
OTU_3525,Rachicladosporium,litter_saprotroph
OTU_5373,#N/A,#N/A
OTU_6300,Sistotrema,litter_saprotroph
OTU_5520,#N/A,#N/A
OTU_3684,Arthrocatena,soil_saprotroph
OTU_5299,#N/A,#N/A
OTU_5597,Parastagonospora,plant_pathogen
OTU_6163,#N/A,#N/A
OTU_3417,Cercosporella,plant_pathogen
OTU_6356,Cadophora,litter_saprotroph
OTU_6652,#N/A,#N/A
OTU_5023,#N/A,#N/A
OTU_6441,#N/A,#N/A
OTU_3509,Peziza,soil_saprotroph
OTU_2848,#N/A,#N/A
OTU_4616,Cerinomyces,wood_saprotroph
OTU_5901,#N/A,#N/A
OTU_6166,Diaporthe,plant_pathogen
OTU_3708,Crocicreas,litter_saprotroph
OTU_3470,#N/A,#N/A
OTU_4423,#N/A,#N/A
OTU_4584,Clarireedia,plant_pathogen
OTU_5921,Diaporthe,plant_pathogen
OTU_3484,Biappendiculispora,litter_saprotroph
OTU_3974,#N/A,#N/A
OTU_6346,Dendrostoma,plant_pathogen
OTU_7692,Hydeomyces,wood_saprotroph
OTU_4163,Ophiognomonia,plant_pathogen
OTU_6177,Limonomyces,plant_pathogen
OTU_5884,#N/A,#N/A
OTU_4418,#N/A,#N/A
OTU_7273,Melanconis,plant_pathogen
OTU_4514,Oliveonia,wood_saprotroph
OTU_5962,#N/A,#N/A
OTU_4193,#N/A,#N/A
OTU_5169,Oliveonia,wood_saprotroph
OTU_4994,#N/A,#N/A
OTU_7510,Elsinoe,plant_pathogen
OTU_4877,#N/A,#N/A
OTU_5026,Coleophoma,plant_pathogen
OTU_2767,Brunnipila,litter_saprotroph
